CHANNEL
CHAN_NO  LENGTH  MANNING  DISPERSION  UPNODE  DOWNNODE  
161      10808   0.0450    360.0000    133     134       
162      4261    0.0450    360.0000    134     34        
163      5058    0.0450    360.0000    134     35        
164      3332    0.0330    360.0000    144     135       
165      3743    0.0330    360.0000    135     136       
166      3265    0.0330    360.0000    136     137       
167      3407    0.0330    360.0000    137     130       
168      6624    0.0330    360.0000    136     130       
169      8000    0.0220    360.0000    16      138       
170      6800    0.0220    360.0000    138     139       
171      5300    0.0220    360.0000    139     21        
172      4805    0.0450    360.0000    140     26        
173      5701    0.0450    360.0000    141     140       
174      4494    0.0450    360.0000    142     141       
175      4956    0.0450    360.0000    143     142       
176      4247    0.0450    360.0000    144     143       
177      4363    0.0450    360.0000    145     144       
178      5621    0.0330    360.0000    124     145       
179      3066    0.0330    360.0000    125     145       
180      9770    0.0450    360.0000    146     147       
181      7072    0.0450    360.0000    147     148       
182      4286    0.0450    360.0000    148     142       
183      4506    0.0300    360.0000    149     58        
184      8869    0.0300    360.0000    150     149       
185      4600    0.0300    360.0000    151     152       
186      4600    0.0300    360.0000    152     153       
187      3200    0.0300    360.0000    153     154       
188      2641    0.0300    360.0000    154     155       
189      2562    0.0300    360.0000    155     156       
190      2315    0.0300    360.0000    156     157       
191      3596    0.0300    360.0000    157     158       
192      1709    0.0300    360.0000    158     159       
193      1508    0.0300    360.0000    159     160       
194      1946    0.0300    360.0000    160     149       
195      3045    0.0300    360.0000    5       162       
196      8526    0.0300    360.0000    162     163       
197      7205    0.0300    360.0000    163     164       
198      7231    0.0300    360.0000    164     165       
199      6662    0.0300    360.0000    165     54        
201      7630    0.0300    360.0000    166     167       
202      7019    0.0300    360.0000    167     168       
203      6789    0.0300    360.0000    168     169       
204      7297    0.0300    360.0000    170     171       
205      4630    0.0300    360.0000    56      171       
206      5533    0.0300    360.0000    171     172       
207      2534    0.0300    360.0000    172     173       
208      4235    0.0300    360.0000    173     174       
209      3553    0.0300    360.0000    174     175       
210      3636    0.0300    360.0000    175     176       
211      4032    0.0300    360.0000    176     177       
212      6906    0.0300    360.0000    177     178       
213      4893    0.0300    360.0000    178     71        
214      4500    0.0270    360.0000    179     70        
215      12951   0.0270    720.0000    223     76        
216      8000    0.0270    360.0000    181     179       
217      4240    0.0270    360.0000    72      182       
218      4301    0.0270    360.0000    182     183       
219      2136    0.0270    360.0000    183     184       
220      2926    0.0270    360.0000    184     185       
221      2456    0.0270    360.0000    183     185       
222      2745    0.0270    360.0000    185     186       
223      2602    0.0270    360.0000    186     187       
224      2793    0.0270    360.0000    185     187       
225      2722    0.0270    360.0000    187     192       
226      4153    0.0220    360.0000    113     188       
227      4789    0.0220    360.0000    188     189       
228      3218    0.0220    360.0000    189     190       
229      3048    0.0220    360.0000    190     191       
230      5712    0.0220    360.0000    191     192       
231      4313    0.0220    360.0000    192     75        
232      3088    0.0270    360.0000    72      73        
233      4028    0.0400    360.0000    117     194       
234      4922    0.0400    360.0000    194     195       
235      3920    0.0400    360.0000    195     82        
236      3609    0.0270    720.0000    82      196       
237      4263    0.0270    720.0000    196     197       
238      5724    0.0270    720.0000    197     198       
239      3820    0.0270    720.0000    198     199       
240      3571    0.0270    720.0000    199     200       
241      5416    0.0270    720.0000    200     201       
242      4661    0.0270    720.0000    201     202       
243      5093    0.0270    720.0000    202     203       
244      4803    0.0270    720.0000    203     93        
245      4331    0.0270    720.0000    204     203       
246      4948    0.0270    720.0000    205     204       
247      5009    0.0270    720.0000    206     205       
248      3449    0.0330    360.0000    129     207       
249      6333    0.0330    360.0000    207     208       
250      6303    0.0250    720.0000    208     98        
251      2612    0.0250    720.0000    208     100       
252      4298    0.0270    720.0000    209     210       
253      4723    0.0270    720.0000    210     211       
254      5177    0.0270    720.0000    211     212       
255      3227    0.0270    360.0000    212     75        
257      2723    0.0270    720.0000    212     77        
258      4295    0.0400    360.0000    121     213       
259      3086    0.0400    360.0000    213     86        
260      2146    0.0270    720.0000    76      45        
261      7394    0.0270    720.0000    205     215       
262      5717    0.0270    720.0000    215     217       
263      4293    0.0270    720.0000    215     218       
264      9400    0.0270    720.0000    102     216       
265      4265    0.0270    720.0000    216     217       
266      4850    0.0270    720.0000    217     218       
267      4496    0.0270    720.0000    217     218       
268      5552    0.0270    720.0000    216     219       
269      17063   0.0270    720.0000    219     220       
270      3908    0.0270    720.0000    220     226       
271      12975   0.0500    720.0000    222     221       
272      14002   0.0500    720.0000    221     220       
273      4983    0.0270    720.0000    218     222       
274      12940   0.0270    720.0000    222     223       
275      18409   0.0270    720.0000    223     45        
276      6850    0.0250    900.0000    103     224       
277      10105   0.0250    900.0000    224     225       
278      5854    0.0250    900.0000    225     226       
279      8937    0.0250    900.0000    226     44        
280      11364   0.0500    720.0000    42      226       
281      3300    0.0330    60.0000     354     459       
282      3300    0.0330    60.0000     459     460       
283      7500    0.0340    60.0000     460     461       
284      6063    0.0330    60.0000     461     467       
285      4500    0.0330    60.0000     462     47        
286      5374    0.0330    60.0000     355     462       
287      6123    0.0330    60.0000     47      463       
288      10323   0.0330    60.0000     463     356       
289      7760    0.0370    60.0000     463     466       
290      6226    0.0150    1000.0000   464     465       
291      4657    0.0150    1000.0000   465     356       
292      3912    0.0330    60.0000     466     464       
293      2758    0.0330    60.0000     465     466       
294      4836    0.0330    60.0000     466     356       
295      2300    0.0330    60.0000     471     462       
296      3000    0.0330    60.0000     470     471       
297      5030    0.0330    60.0000     459     470       
299      5322    0.0330    60.0000     460     467       
300      4759    0.0330    60.0000     467     46        
301      3000    0.0330    60.0000     470     471       
307      13500   0.0320    160.0000    239     41        
308      12500   0.0320    160.0000    240     239       
309      7593    0.0320    720.0000    240     352       
310      8100    0.0320    720.0000    43      240       
311      18638   0.0220    360.0000    241     242       
312      11385   0.0220    360.0000    241     24        
313      15774   0.0220    360.0000    242     243       
314      8130    0.0220    360.0000    243     244       
315      7400    0.0220    360.0000    244     30        
316      2755    0.0220    360.0000    244     32        
317      15422   0.0220    360.0000    246     242       
318      5030    0.0220    360.0000    247     243       
319      11124   0.0240    360.0000    245     33        
320      15797   0.0220    360.0000    246     247       
321      7625    0.0220    360.0000    248     247       
322      10351   0.0220    360.0000    250     248       
323      6101    0.0240    360.0000    268     249       
324      5416    0.0240    360.0000    249     250       
325      9962    0.0240    360.0000    250     245       
326      8225    0.0240    360.0000    245     251       
327      10941   0.0240    360.0000    251     252       
328      7158    0.0240    360.0000    252     39        
329      4845    0.0380    360.0000    253     254       
330      4591    0.0280    360.0000    254     255       
331      2145    0.0280    360.0000    255     256       
332      7103    0.0280    360.0000    256     280       
333      3369    0.0260    360.0000    256     260       
334      12296   0.0300    360.0000    257     258       
335      7128    0.0300    360.0000    258     259       
336      5953    0.0300    360.0000    259     260       
337      7882    0.0260    360.0000    260     261       
338      9962    0.0260    360.0000    261     262       
339      5963    0.0260    360.0000    262     263       
340      7356    0.0260    360.0000    263     264       
341      7139    0.0260    360.0000    264     265       
342      7380    0.0260    360.0000    265     266       
343      4443    0.0260    360.0000    266     267       
344      7088    0.0260    360.0000    267     268       
345      8752    0.0280    360.0000    268     269       
346      8189    0.0280    360.0000    269     270       
347      10249   0.0280    360.0000    270     271       
348      7902    0.0280    360.0000    271     272       
349      9672    0.0280    360.0000    272     40        
350      5905    0.0280    360.0000    274     275       
351      10417   0.0280    360.0000    275     262       
352      6066    0.0280    360.0000    276     277       
353      8793    0.0280    360.0000    277     264       
354      10390   0.0280    360.0000    278     279       
355      13656   0.0280    360.0000    279     266       
356      4249    0.0280    360.0000    260     280       
357      5023    0.0280    360.0000    280     281       
358      3621    0.0280    360.0000    281     282       
359      3398    0.0280    360.0000    282     283       
360      9416    0.0280    360.0000    283     284       
361      5297    0.0280    360.0000    284     285       
362      10733   0.0280    360.0000    285     286       
363      6133    0.0280    360.0000    286     287       
364      7126    0.0280    360.0000    287     271       
365      3940    0.0280    360.0000    342     255       
366      6324    0.0270    360.0000    343     288       
367      4221    0.0270    360.0000    288     289       
368      6610    0.0270    360.0000    289     290       
369      8772    0.0270    360.0000    290     291       
370      7738    0.0270    360.0000    291     292       
371      7766    0.0270    360.0000    292     293       
372      8624    0.0270    360.0000    293     294       
373      9831    0.0270    360.0000    294     295       
374      6080    0.0270    360.0000    295     271       
375      14000   0.0250    360.0000    296     297       
376      12000   0.0250    360.0000    297     298       
377      11397   0.0250    360.0000    298     299       
378      20000   0.0250    360.0000    299     300       
379      3300    0.0340    360.0000    339     300       
380      9200    0.0320    360.0000    300     301       
381      10454   0.0320    360.0000    301     302       
382      12340   0.0380    360.0000    302     304       
383      12528   0.0310    360.0000    340     303       
384      10577   0.0310    360.0000    303     304       
385      8928    0.0310    360.0000    304     305       
386      15694   0.0310    360.0000    305     306       
387      11358   0.0310    360.0000    306     350       
388      12307   0.0340    360.0000    302     307       
389      8822    0.0340    360.0000    307     308       
390      18016   0.0340    360.0000    308     316       
391      19781   0.0220    360.0000    309     310       
392      23897   0.0220    360.0000    310     311       
393      15515   0.0220    360.0000    311     312       
394      21261   0.0220    360.0000    312     313       
395      16091   0.0220    360.0000    313     314       
396      24303   0.0220    360.0000    314     315       
397      14831   0.0220    360.0000    315     316       
398      21353   0.0240    360.0000    316     350       
399      17100   0.0220    360.0000    317     318       
400      6300    0.0220    360.0000    318     323       
401      25700   0.0220    360.0000    319     321       
402      14600   0.0220    360.0000    320     321       
403      6200    0.0220    360.0000    321     322       
404      2600    0.0220    360.0000    322     323       
405      4000    0.0220    360.0000    323     316       
406      8900    0.0220    360.0000    273     324       
407      7700    0.0220    360.0000    324     325       
408      7500    0.0220    360.0000    325     326       
409      14100   0.0220    360.0000    326     322       
410      14047   0.0320    360.0000    330     331       
411      18620   0.0320    360.0000    331     332       
412      17340   0.0320    360.0000    332     333       
413      11828   0.0320    360.0000    333     334       
414      24177   0.0340    360.0000    334     335       
415      21440   0.0340    360.0000    335     336       
416      10278   0.0340    360.0000    336     337       
417      6133    0.0340    360.0000    337     338       
418      13562   0.0340    360.0000    338     339       
419      8273    0.0300    360.0000    339     340       
420      14774   0.0300    360.0000    340     341       
421      13209   0.0300    360.0000    341     342       
422      5317    0.0280    360.0000    342     343       
423      11655   0.0280    360.0000    343     344       
424      14165   0.0280    360.0000    344     346       
426      8874    0.0280    360.0000    346     347       
427      11465   0.0280    360.0000    347     348       
428      8769    0.0280    360.0000    348     349       
429      8661    0.0280    360.0000    349     350       
430      13931   0.0270    120.0000    350     351       
431      13783   0.0270    120.0000    351     352       
432      5163    0.0270    120.0000    352     414       
433      12134   0.0270    540.0000    352     353       
434      20141   0.0270    900.0000    353     354       
435      10827   0.0170    900.0000    354     355       
436      7094    0.0150    1000.0000   355     464       
437      20200   0.0220    1000.0000   356     357       
438      12100   0.0220    1800.0000   362     358       
439      10200   0.0220    2000.0000   358     359       
440      14800   0.0220    2400.0000   359     360       
441      5398    0.0220    2400.0000   360     361       
442      10700   0.0220    1000.0000   356     328       
443      11500   0.0220    1500.0000   357     362       
444      12631   0.0220    1500.0000   227     329       
445      9098    0.0220    1800.0000   329     366       
447      10900   0.0220    1800.0000   238     363       
448      8200    0.0220    1800.0000   363     365       
449      7000    0.0210    2400.0000   364     365       
450      10000   0.0220    1500.0000   238     227       
451      15800   0.0220    2400.0000   365     367       
452      9000    0.0220    2000.0000   358     359       
453      14428   0.0220    1800.0000   366     367       
454      12200   0.0200    2400.0000   367     360       
455      3000    0.0350    100.0000    369     370       
456      10200   0.0350    100.0000    370     379       
457      15600   0.0500    100.0000    396     389       
458      8189    0.0350    100.0000    368     371       
459      3546    0.0350    100.0000    371     372       
460      11456   0.0350    100.0000    372     373       
461      10929   0.0150    100.0000    373     374       
462      7577    0.0150    100.0000    374     375       
463      7670    0.0400    100.0000    375     376       
464      10666   0.0400    100.0000    445     377       
465      3782    0.0400    100.0000    377     378       
466      6218    0.0400    100.0000    378     364       
467      7000    0.0350    100.0000    379     380       
468      14000   0.0500    100.0000    380     381       
469      9552    0.0500    100.0000    381     382       
470      11154   0.0400    600.0000    443     377       
471      7216    0.0350    100.0000    442     377       
472      12233   0.0300    600.0000    385     384       
473      3909    0.0200    1200.0000   367     385       
474      4692    0.0250    360.0000    382     443       
475      6300    0.0350    100.0000    387     388       
476      9200    0.0500    100.0000    389     390       
477      4000    0.0500    100.0000    390     388       
478      4137    0.0350    100.0000    388     375       
479      10560   0.0500    100.0000    390     391       
480      13002   0.0500    100.0000    391     382       
481      2078    0.0500    100.0000    381     391       
483      13500   0.0300    100.0000    392     371       
484      21700   0.0300    100.0000    400     372       
485      6000    0.0300    100.0000    394     373       
486      11538   0.0300    100.0000    395     371       
487      3500    0.0300    100.0000    393     400       
488      6052    0.0300    100.0000    397     398       
489      1930    0.0150    100.0000    373     398       
490      8824    0.0150    100.0000    398     399       
491      10953   0.0150    100.0000    399     425       
492      4881    0.0220    360.0000    237     324       
493      6832    0.0220    360.0000    237     324       
494      6079    0.0270    120.0000    414     416       
495      4177    0.0270    120.0000    416     353       
497      7449    0.0210    1200.0000   403     409       
498      10349   0.0210    1200.0000   409     406       
499      5920    0.0210    1200.0000   406     421       
500      3011    0.0300    200.0000    384     444       
501      3814    0.0300    200.0000    444     442       
502      14300   0.0210    1200.0000   408     409       
503      10167   0.0210    1200.0000   409     410       
505      3226    0.0210    1200.0000   410     406       
506      6836    0.0210    1200.0000   412     406       
507      5262    0.0300    200.0000    404     405       
508      6213    0.0300    200.0000    405     395       
509      11407   0.0210    1200.0000   413     421       
511      5773    0.0210    1800.0000   464     417       
512      6038    0.0210    1800.0000   417     418       
513      31445   0.0210    1200.0000   418     420       
515      12292   0.0210    1200.0000   420     421       
516      8664    0.0150    1600.0000   421     422       
517      12909   0.0150    1200.0000   422     425       
522      22742   0.0150    1200.0000   425     428       
523      10015   0.0150    1800.0000   428     364       
527      15700   0.0210    1800.0000   327     425       
528      2107    0.0400    200.0000    376     428       
529      1250    0.0210    1800.0000   432     418       
530      14250   0.0210    1800.0000   433     432       
531      11750   0.0210    1800.0000   434     433       
532      14750   0.0210    1800.0000   436     434       
537      3500    0.0350    100.0000    384     440       
539      5500    0.0350    100.0000    440     378       
542      4200    0.0350    100.0000    440     365       
543      4398    0.0400    200.0000    376     445       
544      7164    0.0250    200.0000    386     445       
549      2501    0.0380    360.0000    446     257       
550      2617    0.0380    360.0000    447     257       
552      9487    0.0300    360.0000    448     449       
553      10118   0.0300    360.0000    449     253       
555      5248    0.0380    360.0000    451     452       
556      7237    0.0380    360.0000    452     453       
557      7701    0.0380    360.0000    453     454       
558      2039    0.0380    360.0000    454     253       
559      4951    0.0380    360.0000    455     454       
560      6244    0.0220    360.0000    456     457       
561      6259    0.0220    360.0000    457     18        
570      7400    0.0220    1000.0000   357     227       
571      11150   0.0220    1500.0000   227     238       
572      8000    0.0220    1800.0000   228     365       
573      8000    0.0220    1800.0000   363     228       
574      13318   0.0220    1000.0000   328     227       
575      13000   0.0220    1000.0000   328     357       
700      10000   0.0330    360.0000    700     330       
701      10000   0.0330    360.0000    701     700       
702      10000   0.0330    360.0000    702     701       
703      10000   0.0330    360.0000    703     702       
710      15043   0.0380    360.0000    710     711       
711      17945   0.0380    360.0000    711     712       
712      11627   0.0380    360.0000    712     713       
713      19870   0.0380    360.0000    713     714       
714      7944    0.0380    360.0000    714     318      
